"cod_municipio","municipio","estado","valor"
2110104,Santa Quitéria do Maranhão,MA,825
2110203,Santa Rita,MA,35
2110237,Santana do Maranhão,MA,380
2110278,Santo Amaro do Maranhão,MA,25
2110302,Santo Antônio dos Lopes,MA,479
2110401,São Benedito do Rio Preto,MA,415
2110500,São Bento,MA,328
2110609,São Bernardo,MA,804
2110658,São Domingos do Azeitão,MA,3543
2110708,São Domingos do Maranhão,MA,1650
2110807,São Félix de Balsas,MA,2095
2110856,São Francisco do Brejão,MA,290
2110906,São Francisco do Maranhão,MA,814
2111003,São João Batista,MA,180
2111029,São João do Carú,MA,149
2111052,São João do Paraíso,MA,182
2111078,São João do Soter,MA,3020
2111102,São João dos Patos,MA,1760
2111250,São José dos Basílios,MA,960
2111409,São Luís Gonzaga do Maranhão,MA,785
2111508,São Mateus do Maranhão,MA,120
2111532,São Pedro da Água Branca,MA,328
2111573,São Pedro dos Crentes,MA,520
2111607,São Raimundo das Mangabeiras,MA,24900
2111631,São Raimundo do Doca Bezerra,MA,405
2111672,São Roberto,MA,86
2111706,São Vicente Ferrer,MA,390
2111722,Satubinha,MA,185
2111748,Senador Alexandre Costa,MA,2920
2111763,Senador La Rocque,MA,237
2111789,Serrano do Maranhão,MA,380
2111805,Sítio Novo,MA,1595
2111904,Sucupira do Norte,MA,792
2111953,Sucupira do Riachão,MA,263
2112001,Tasso Fragoso,MA,62870
2112100,Timbiras,MA,890
2112209,Timon,MA,1200
2112233,Trizidela do Vale,MA,310
2112274,Tufilândia,MA,29
2112308,Tuntum,MA,4250
2112407,Turiaçu,MA,1228
2112456,Turilândia,MA,461
2112506,Tutóia,MA,737
2112605,Urbano Santos,MA,270
2112704,Vargem Grande,MA,905
2112803,Viana,MA,95
2112852,Vila Nova dos Martírios,MA,740
2112902,Vitória do Mearim,MA,80
2113009,Vitorino Freire,MA,1015
2114007,Zé Doca,MA,395
2200053,Acauã,PI,2080
2200103,Agricolândia,PI,370
2200202,Água Branca,PI,425
2200251,Alagoinha do Piauí,PI,2500
2200277,Alegrete do Piauí,PI,2700
2200301,Alto Longá,PI,1146
2200400,Altos,PI,529
2200459,Alvorada do Gurguéia,PI,950
2200509,Amarante,PI,1850
2200608,Angical do Piauí,PI,512
2200707,Anísio de Abreu,PI,2732
2200806,Antônio Almeida,PI,360
2200905,Aroazes,PI,800
2200954,Aroeiras do Itaim,PI,2387
2201002,Arraial,PI,610
2201051,Assunção do Piauí,PI,2056
2201101,Avelino Lopes,PI,1242
2201150,Baixa Grande do Ribeiro,PI,67321
2201176,Barra D'Alcântara,PI,375
2201200,Barras,PI,2025
2201309,Barreiras do Piauí,PI,1722
2201408,Barro Duro,PI,400
2201507,Batalha,PI,1275
2201556,Bela Vista do Piauí,PI,1439
2201572,Belém do Piauí,PI,1720
2201606,Beneditinos,PI,424
2201705,Bertolínia,PI,350
2201739,Betânia do Piauí,PI,1015
2201770,Boa Hora,PI,98
2201804,Bocaina,PI,1015
2201903,Bom Jesus,PI,25860
2201919,Bom Princípio do Piauí,PI,1948
2201929,Bonfim do Piauí,PI,620
2201945,Boqueirão do Piauí,PI,332
2201960,Brasileira,PI,400
2201988,Brejo do Piauí,PI,1166
2202000,Buriti dos Lopes,PI,1107
2202026,Buriti dos Montes,PI,1220
2202059,Cabeceiras do Piauí,PI,550
2202075,Cajazeiras do Piauí,PI,684
2202083,Cajueiro da Praia,PI,772
2202091,Caldeirão Grande do Piauí,PI,3300
2202109,Campinas do Piauí,PI,2000
2202117,Campo Alegre do Fidalgo,PI,745
2202133,Campo Grande do Piauí,PI,1500
2202174,Campo Largo do Piauí,PI,340
2202208,Campo Maior,PI,1130
2202251,Canavieira,PI,880
2202307,Canto do Buriti,PI,6000
2202406,Capitão de Campos,PI,640
2202455,Capitão Gervásio Oliveira,PI,144
2202505,Caracol,PI,2479
2202539,Caraúbas do Piauí,PI,288
2202554,Caridade do Piauí,PI,830
2202604,Castelo do Piauí,PI,1300
2202653,Caxingó,PI,96
2202703,Cocal,PI,5552
2202711,Cocal de Telha,PI,237
2202729,Cocal dos Alves,PI,967
2202737,Coivaras,PI,233
2202752,Colônia do Gurguéia,PI,250
2202778,Colônia do Piauí,PI,898
2202802,Conceição do Canindé,PI,133
2202851,Coronel José Dias,PI,800
2202901,Corrente,PI,3872
2203008,Cristalândia do Piauí,PI,930
